"price","trim","isOneOwner","mileage","year","color","displacement","fuel","region","soundSystem","wheelType"
2988,"320","f",193296,1995,"Black","3.2","Gasoline","SoA","unsp","Alloy"
6595,"320","f",129948,1995,"other","3.2","Gasoline","Mid","Premium","Alloy"
7993,"320","f",140428,1997,"White","3.2","Gasoline","Mid","Bose","Alloy"
5995,"420","f",113622,1999,"Silver","4.2","Gasoline","Mid","unsp","Alloy"
3000,"420","f",167673,1999,"Silver","4.2","Gasoline","SoA","unsp","Alloy"
7400,"430","f",82419,2002,"White","4.3","Gasoline","Mid","Bose","Alloy"
10850,"430","f",101264,2000,"White","4.3","Gasoline","SoA","unsp","unsp"
8990,"430","f",110651,2001,"Black","4.3","Gasoline","SoA","unsp","Alloy"
7950,"430","f",108173,2000,"Silver","4.3","Gasoline","ESC","Bose","unsp"
7995,"430","f",119978,2000,"Black","4.3","Gasoline","ESC","unsp","Alloy"
6998,"430","f",187977,2002,"Gray","4.3","Gasoline","SoA","Premium","unsp"
11997,"430","f",106093,2002,"Silver","4.3","Gasoline","ENC","Bose","unsp"
2800,"430","f",59690,2002,"Black","4.3","Gasoline","ENC","unsp","unsp"
11459,"430","f",129167,2003,"other","4.3","Gasoline","WSC","Bose","unsp"
4995,"430","f",172807,2002,"Gray","4.3","Gasoline","ENC","Premium","Alloy"
10999,"430","f",76577,2004,"Gray","4.3","Gasoline","Mid","unsp","Alloy"
10765,"430","f",66453,2002,"Silver","4.3","Gasoline","New","unsp","Alloy"
9994,"430","f",84097,2003,"Silver","4.3","Gasoline","ENC","unsp","Alloy"
9995,"430","t",97240,2002,"Gray","4.3","Gasoline","Mtn","unsp","Alloy"
9339,"430","f",143997,2004,"Gray","4.3","Gasoline","Mtn","unsp","Alloy"
8800,"430","f",125438,2004,"Silver","4.3","Gasoline","WSC","unsp","unsp"
16950,"430","f",83507,2006,"Blue","4.3","Gasoline","Mtn","Premium","unsp"
8995,"430","f",121640,2001,"Blue","4.3","Gasoline","Mtn","unsp","Alloy"
8875,"430","f",136514,2001,"other","4.3","Gasoline","SoA","Premium","Alloy"
5900,"430","f",144645,2001,"Silver","4.3","Gasoline","SoA","unsp","unsp"
6995,"430","f",178000,2002,"Silver","4.3","Gasoline","SoA","unsp","Alloy"
7990,"430","f",83770,2003,"Silver","4.3","Gasoline","New","Bose","Alloy"
7999,"430","t",89024,2002,"Silver","4.3","Gasoline","SoA","Premium","Alloy"
6995,"430","f",141610,2002,"Silver","4.3","Gasoline","WSC","unsp","unsp"
3499,"430","f",176699,2000,"Silver","4.3","Gasoline","ENC","unsp","Alloy"
23000,"430","f",75677,2006,"Black","4.3","Gasoline","SoA","unsp","unsp"
6950,"430","f",126162,2000,"White","4.3","Gasoline","Pac","Bose","Alloy"
9988,"55 AMG","f",120087,2001,"Silver","5.4","Gasoline","New","Premium","Alloy"
16995,"55 AMG","t",74002,2003,"other","5.4","Gasoline","WSC","unsp","Alloy"
9995,"55 AMG","f",129672,2005,"Silver","5.4","Gasoline","WSC","Premium","unsp"
20562,"55 AMG","f",85831,2006,"Black","5.4","Gasoline","WSC","Premium","Alloy"
11900,"55 AMG","f",138190,2003,"Black","5.4","Gasoline","Mtn","Premium","Alloy"
21695,"55 AMG","f",71048,2006,"Black","5.4","Gasoline","Mid","unsp","unsp"
4995,"500","f",131649,2002,"Black","5","Gasoline","Mid","unsp","unsp"
12999,"500","f",79858,2003,"Black","5","Gasoline","Pac","unsp","Alloy"
4995,"500","f",112865,2000,"Black","5","Gasoline","Mtn","unsp","unsp"
8996,"500","f",107104,2003,"Blue","5","Gasoline","ENC","unsp","Alloy"
7000,"500","f",98041,2001,"Black","5","Gasoline","SoA","unsp","Alloy"
10500,"500","f",70215,2001,"Black","5","Gasoline","Pac","Premium","Alloy"
10988,"500","f",133331,2002,"other","5","Gasoline","SoA","unsp","Alloy"
8998,"500","f",103411,2003,"Black","5","Gasoline","Mid","Premium","Alloy"
8780,"500","f",147045,2004,"Black","5","Gasoline","SoA","unsp","unsp"
17481,"500","f",67955,2006,"Black","5","Gasoline","ESC","Bose","Alloy"
19999,"500","f",101000,2006,"Silver","5","Gasoline","ESC","unsp","unsp"
11495,"500","f",70330,2003,"Black","5","Gasoline","WNC","unsp","Alloy"
8995,"500","f",66174,2000,"Silver","5","Gasoline","Mid","Bose","Alloy"
5995,"500","f",141499,2002,"other","5","Gasoline","ENC","unsp","Alloy"
