"price","trim","isOneOwner","mileage","year","color","displacement"
43995,"550","f",36858,2008,"Silver","5.5"
44995,"550","f",46883,2012,"Black","4.6"
25999,"550","f",108759,2007,"White","5.5"
33880,"550","f",35187,2007,"Black","5.5"
34895,"550","f",48153,2007,"Black","5.5"
5995,"500","f",121748,2002,"other","other"
21900,"550","f",115280,2007,"other","5.5"
41995,"other","f",36370,2007,"Black","5.5"
39882,"other","f",76996,2008,"Black","other"
47995,"550","f",43568,2011,"Black","5.5"
26955,"550","f",79151,2007,"Black","5.5"
53995,"550","f",24905,2013,"Black","4.6"
31991,"other","t",66262,2007,"other","5.5"
41900,"550","f",50380,2010,"Black","5.5"
63991,"550","t",32823,2012,"White","4.6"
36999,"550","f",59959,2011,"Black","5.5"
29915,"550","f",43768,2007,"Silver","5.5"
11950,"430","f",81672,2004,"Black","other"
27998,"550","t",46874,2007,"White","5.5"
26950,"550","f",80012,2007,"Black","5.5"
11998,"500","f",121297,2005,"other","other"
40988,"other","t",76523,2009,"Black","other"
5995,"500","f",150467,2001,"Silver","other"
39989,"other","f",25376,2011,"Silver","other"
37714,"550","f",15320,2008,"White","5.5"
41995,"550","f",45957,2011,"Black","5.5"
34999,"550","f",55280,2008,"Black","5.5"
54995,"550","f",18642,2011,"Silver","5.5"
8875,"430","f",136514,2001,"other","other"
12900,"430","f",127153,2001,"Silver","other"
39990,"other","f",61799,2008,"White","other"
30980,"550","f",73132,2007,"Black","5.5"
43999,"550","f",31343,2010,"Silver","5.5"
9700,"500","f",139817,2001,"Black","other"
24995,"550","f",92211,2007,"Black","5.5"
14995,"other","f",80645,2006,"other","other"
24995,"550","f",101327,2007,"Black","5.5"
33900,"550","t",43155,2008,"Silver","5.5"
6977,"430","f",183472,2003,"Silver","other"
6600,"500","f",99321,1995,"other","other"
31988,"550","f",23143,2008,"other","5.5"
12999,"430","f",76983,2005,"Black","other"
24995,"550","f",87684,2007,"Silver","5.5"
12995,"other","f",134216,2003,"other","other"
42988,"550","f",43036,2010,"White","5.5"
35000,"other","f",63759,2010,"other","other"
12998,"430","f",94379,2004,"other","other"
20800,"550","f",126574,2008,"Silver","5.5"
68900,"550","t",6422,2013,"Silver","4.6"
64995,"550","f",7944,2013,"other","4.6"
4900,"500","f",122623,2000,"Silver","other"
46900,"550","t",36261,2011,"Silver","5.5"
36919,"other","f",55329,2008,"other","other"
8995,"430","f",89169,2002,"Silver","other"
10990,"430","f",103475,2004,"White","other"
20999,"550","f",86088,2007,"Silver","5.5"
49999,"550","t",35499,2013,"other","4.6"
27997,"550","f",61725,2007,"Black","5.5"
19977,"500","f",64016,2006,"White","other"
23495,"550","f",106537,2008,"other","5.5"
32156,"550","f",65855,2008,"White","5.5"
49995,"550","f",26029,2012,"Silver","4.6"
24995,"550","f",123370,2007,"White","5.5"
6995,"500","f",125182,1999,"other","other"
42500,"550","t",18803,2010,"Black","5.5"
5838,"430","f",189001,2000,"Silver","other"
74895,"other","f",28414,2008,"Black","other"
31988,"550","f",77800,2009,"Black","5.5"
40935,"550","f",49725,2011,"Silver","5.5"
44501,"550","f",52530,2010,"Silver","5.5"
62991,"550","t",22576,2013,"Black","4.6"
6995,"500","f",169266,2000,"White","other"
35811,"550","t",38051,2008,"White","5.5"
38908,"550","t",20186,2007,"other","5.5"
37499,"550","f",64012,2011,"Black","5.5"
5999,"500","f",129000,2002,"Silver","other"
39893,"550","f",39957,2008,"other","5.5"
13995,"500","f",70956,2004,"Black","other"
39979,"other","f",64135,2008,"Black","other"
